"carat","cut","color","clarity","depth","table","x","y","z","target"
1.22,"Premium","E","VS2",62.2,55,6.91,6.85,4.28,"dorogo"
1.51,"Fair","D","SI1",64.1,60,7.18,7.11,4.58,"dorogo"
1.34,"Premium","G","VS2",60.7,59,7.07,7.04,4.28,"dorogo"
1,"Ideal","G","VVS2",61.1,58,6.43,6.47,3.94,"dorogo"
1.56,"Ideal","I","VS2",62.5,57,7.4,7.36,4.63,"dorogo"
1.52,"Premium","I","SI1",62.8,62,7.29,7.23,4.56,"dorogo"
1.52,"Good","I","SI1",64,58,7.27,7.2,4.63,"dorogo"
2,"Premium","J","VS1",63,58,8.04,7.99,5.05,"dorogo"
1.31,"Premium","G","VS2",60.3,58,7.13,7.1,4.29,"dorogo"
1.51,"Ideal","I","VS2",62.3,57,7.28,7.37,4.56,"dorogo"
1.39,"Ideal","H","VVS2",61.2,54,7.23,7.25,4.43,"dorogo"
1.57,"Ideal","H","SI2",60.7,57,7.49,7.54,4.56,"dorogo"
1.11,"Premium","E","VS1",59.8,60,6.75,6.72,4.03,"dorogo"
1.51,"Good","F","SI2",63.4,57,7.25,7.29,4.61,"dorogo"
1.51,"Premium","I","VS2",61.8,59,7.36,7.4,4.56,"dorogo"
1.51,"Good","I","VVS1",64,60,7.21,7.26,4.63,"dorogo"
1.51,"Ideal","F","SI2",62.6,55,7.35,7.39,4.61,"dorogo"
1.35,"Very Good","G","VS2",62.8,59,7.01,7.04,4.41,"dorogo"
1.51,"Premium","E","SI2",63,55,7.34,7.3,4.61,"dorogo"
1.59,"Premium","I","VS2",59.9,60,7.57,7.61,4.55,"dorogo"
1.18,"Premium","G","VVS2",61.6,58,6.8,6.77,4.18,"dorogo"
1.18,"Premium","G","VVS2",62.8,57,6.77,6.71,4.23,"dorogo"
1.5,"Very Good","J","VVS2",62.2,57,7.25,7.31,4.53,"dorogo"
1.01,"Ideal","E","VVS2",60,55,6.56,6.6,3.95,"dorogo"
1.65,"Premium","H","VS1",60.9,62,7.58,7.51,4.6,"dorogo"
1.76,"Fair","J","VS1",56.9,66,8.09,7.94,4.56,"dorogo"
1.54,"Premium","I","SI1",60.1,58,7.53,7.48,4.51,"dorogo"
1.53,"Ideal","I","SI1",62.3,56,7.37,7.4,4.6,"dorogo"
1.14,"Ideal","F","VVS2",62.7,55,6.7,6.6,4.17,"dorogo"
1.2,"Ideal","D","SI1",61.1,56,6.86,6.89,4.2,"dorogo"
1.23,"Premium","F","VS1",61.3,60,6.9,6.94,4.24,"dorogo"
1.53,"Premium","J","VVS1",61.6,58,7.4,7.37,4.55,"dorogo"
1.21,"Ideal","G","VS1",62.7,54,6.8,6.82,4.27,"dorogo"
1,"Very Good","E","VVS2",61.7,55,6.38,6.42,3.95,"dorogo"
1.5,"Good","H","SI1",57.9,62,7.55,7.48,4.35,"dorogo"
1.17,"Ideal","G","VS1",61.7,57,6.71,6.75,4.15,"dorogo"
1.51,"Premium","I","VVS2",62.1,58,7.29,7.32,4.54,"dorogo"
1.7,"Premium","I","SI2",62.9,59,7.57,7.51,4.74,"dorogo"
1.7,"Premium","I","VS2",61.3,59,7.69,7.59,4.68,"dorogo"
1.7,"Premium","F","SI2",58.5,60,7.87,7.8,4.58,"dorogo"
1.2,"Very Good","F","VS2",62.9,57,6.78,6.71,4.24,"dorogo"
1.31,"Ideal","F","SI1",61.6,55,7.04,7.09,4.35,"dorogo"
1.53,"Very Good","H","SI1",60.4,60,7.39,7.44,4.48,"dorogo"
1.51,"Very Good","H","VVS2",63.1,56,7.33,7.28,4.61,"dorogo"
1.13,"Ideal","G","VVS2",62.3,57,6.62,6.66,4.14,"dorogo"
1.24,"Ideal","F","VS1",62.2,55,6.89,6.87,4.28,"dorogo"
1.24,"Premium","F","VS1",61.5,57,6.97,6.86,4.25,"dorogo"
1.23,"Premium","F","VS2",61.2,58,6.93,6.87,4.22,"dorogo"
1.51,"Ideal","J","VVS2",61.4,59,7.34,7.39,4.52,"dorogo"
1.28,"Premium","G","VS1",60.9,58,7.01,7.09,4.29,"dorogo"
1.58,"Ideal","I","SI1",61.7,56,7.55,7.48,4.64,"dorogo"
1.21,"Ideal","F","VS1",59.7,57,6.94,6.92,4.14,"dorogo"
1.76,"Very Good","H","SI1",63,63,7.65,7.63,4.81,"dorogo"
1.51,"Ideal","H","SI1",61.8,55,7.38,7.42,4.57,"dorogo"
1.5,"Good","H","SI1",60.8,60,7.28,7.38,4.46,"dorogo"
1.2,"Very Good","G","VVS2",62.1,58,6.74,6.78,4.2,"dorogo"
1.22,"Ideal","G","VS1",62,56,6.83,6.88,4.24,"dorogo"
1.61,"Ideal","H","SI1",62.3,56,7.51,7.47,4.67,"dorogo"
1.61,"Premium","I","VS2",58.4,59,7.73,7.68,4.5,"dorogo"
1.61,"Premium","H","SI1",61.4,58,7.59,7.53,4.64,"dorogo"
1.5,"Very Good","I","VS2",59.4,61,7.41,7.45,4.41,"dorogo"
1.28,"Ideal","G","VS1",61.7,55,6.97,7.02,4.32,"dorogo"
1.51,"Good","E","SI2",63.1,58,7.28,7.31,4.6,"dorogo"
1.51,"Very Good","I","VS1",63,59,7.28,7.3,4.59,"dorogo"
1.51,"Very Good","E","SI2",61.1,60,7.27,7.37,4.47,"dorogo"
1.51,"Very Good","E","SI2",63.1,61,7.25,7.3,4.59,"dorogo"
1.52,"Very Good","D","SI2",60.9,59,7.35,7.4,4.49,"dorogo"
1.1,"Ideal","F","VVS2",61.2,56,6.71,6.64,4.08,"dorogo"
1.51,"Ideal","I","SI1",62.6,55,7.37,7.26,4.58,"dorogo"
1.94,"Very Good","I","SI2",63.1,59,8.01,7.89,5.02,"dorogo"
1.51,"Premium","I","SI1",61.7,60,7.31,7.27,4.5,"dorogo"
1.57,"Ideal","J","VVS2",61.4,57,7.45,7.5,4.59,"dorogo"
1.23,"Very Good","F","VS1",60.6,58,6.88,6.95,4.19,"dorogo"
1.09,"Ideal","E","VS2",60.7,57,6.66,6.68,4.05,"dorogo"
1.5,"Ideal","F","SI1",62.7,56,7.25,7.35,4.58,"dorogo"
1.16,"Ideal","F","VS1",61.9,54,6.75,6.79,4.19,"dorogo"
1.51,"Ideal","I","VS2",61.6,57,7.34,7.28,4.5,"dorogo"
1.52,"Ideal","I","VS2",62.4,55,7.35,7.4,4.6,"dorogo"
1.5,"Very Good","I","VS2",60.5,60,7.31,7.4,4.45,"dorogo"
1,"Ideal","F","VVS2",61.9,57,6.47,6.42,3.99,"dorogo"
1.29,"Premium","G","VS1",62.4,58,6.89,6.86,4.29,"dorogo"
1.62,"Very Good","E","SI2",60.8,59,7.57,7.62,4.62,"dorogo"
1.21,"Very Good","G","VVS2",62.9,59,6.68,6.74,4.22,"dorogo"
1.52,"Ideal","I","SI1",61.4,57,7.4,7.43,4.55,"dorogo"
1.54,"Ideal","G","SI2",61.7,56,7.41,7.44,4.58,"dorogo"
1.07,"Ideal","G","IF",61.5,57,6.54,6.59,4.04,"dorogo"
1.23,"Premium","E","VS2",58.9,59,7.05,6.98,4.13,"dorogo"
1.24,"Ideal","G","VVS2",61.2,56,6.88,6.92,4.22,"dorogo"
1.18,"Premium","G","VVS2",59.7,58,6.9,6.94,4.13,"dorogo"
1.22,"Ideal","H","VVS2",61.7,56,6.83,6.87,4.23,"dorogo"
1.52,"Good","G","SI1",64.4,59,7.18,7.25,4.65,"dorogo"
1.21,"Premium","G","VVS2",59.6,60,6.89,6.91,4.11,"dorogo"
1.2,"Premium","F","VS1",61.6,61,6.86,6.81,4.21,"dorogo"
1.27,"Premium","G","VS1",61.1,60,6.99,7.03,4.28,"dorogo"
1.28,"Ideal","G","VS1",62.7,53,6.94,6.97,4.36,"dorogo"
1.2,"Ideal","G","VVS2",62.2,56,6.76,6.81,4.22,"dorogo"
1.5,"Premium","F","SI2",61.4,60,7.34,7.28,4.49,"dorogo"
1.23,"Ideal","F","VS2",61.7,57,6.9,6.94,4.27,"dorogo"
1.6,"Ideal","I","SI1",62,55,7.53,7.59,4.69,"dorogo"
1.25,"Very Good","F","VS2",62.5,59,6.81,6.89,4.28,"dorogo"
1.11,"Premium","F","VVS2",59.2,59,6.79,6.82,4.03,"dorogo"
1.15,"Ideal","G","VVS1",60.6,56,6.83,6.8,4.13,"dorogo"
1.7,"Good","J","VS2",62.4,61,7.47,7.53,4.68,"dorogo"
1.54,"Premium","J","VVS1",62.4,59,7.38,7.36,4.6,"dorogo"
1.19,"Ideal","G","VVS2",60.8,55,6.91,6.9,4.19,"dorogo"
1.5,"Very Good","G","SI2",63.1,57,7.29,7.25,4.59,"dorogo"
1.71,"Premium","I","VS2",62.4,61,7.67,7.59,4.76,"dorogo"
1.53,"Premium","J","VVS1",61.6,59,7.35,7.39,4.54,"dorogo"
1.59,"Premium","H","SI2",62.6,59,7.42,7.4,4.64,"dorogo"
1.51,"Fair","H","SI1",65.4,59,7.17,7.11,4.67,"dorogo"
1.52,"Very Good","D","SI2",60.6,62,7.37,7.42,4.48,"dorogo"
1.53,"Very Good","H","SI2",61.2,55.9,7.43,7.46,4.56,"dorogo"
1.54,"Ideal","H","SI1",61.1,56,7.47,7.42,4.56,"dorogo"
1.51,"Ideal","G","SI2",62.3,56,7.31,7.37,4.57,"dorogo"
1.5,"Good","H","SI1",61,59,7.31,7.39,4.48,"dorogo"
1.21,"Ideal","F","VS2",61.3,56,6.86,6.91,4.22,"dorogo"
1.26,"Ideal","G","VS2",60.8,55,7.02,7.04,4.28,"dorogo"
1.8,"Ideal","H","SI1",62.2,57,7.79,7.71,4.82,"dorogo"
1.34,"Ideal","G","VS2",61.9,56,7.1,7.05,4.38,"dorogo"
1.19,"Ideal","G","VVS2",60.9,53,6.88,6.92,4.2,"dorogo"
1.56,"Ideal","J","VS1",61.9,55,7.44,7.46,4.61,"dorogo"
1.52,"Ideal","E","SI2",60.1,57,7.49,7.53,4.51,"dorogo"
1.24,"Good","G","VS1",60.2,63,6.96,6.99,4.2,"dorogo"
1.2,"Ideal","G","VVS2",62.2,55,6.77,6.81,4.23,"dorogo"
1.6,"Ideal","I","SI1",62.4,53.5,7.45,7.5,4.66,"dorogo"
1.57,"Very Good","H","VS2",63.4,56,7.46,7.4,4.71,"dorogo"
1.32,"Ideal","G","VS2",61.1,57,7.07,7.13,4.34,"dorogo"
1.5,"Ideal","I","VS2",62.6,55,7.39,7.31,4.6,"dorogo"
1.5,"Premium","F","SI2",60.8,59,7.36,7.3,4.46,"dorogo"
1.24,"Premium","F","VS2",62.2,58,6.89,6.84,4.27,"dorogo"
1.01,"Premium","F","VVS1",62.8,58,6.39,6.35,4,"dorogo"
1.03,"Ideal","F","VVS2",62,56,6.48,6.45,4.01,"dorogo"
1.7,"Ideal","J","VS2",62.5,57,7.6,7.63,4.76,"dorogo"
1.51,"Very Good","I","VVS2",61.9,56,7.35,7.38,4.56,"dorogo"
1.57,"Ideal","H","SI1",61.8,55,7.47,7.51,4.63,"dorogo"
1.51,"Very Good","F","SI1",63.2,57,7.34,7.23,4.6,"dorogo"
1.21,"Premium","F","VS2",62.2,60,6.75,6.72,4.19,"dorogo"
1.16,"Ideal","G","VVS2",62.2,56,6.74,6.7,4.18,"dorogo"
1.53,"Premium","J","IF",61.1,58,7.41,7.45,4.54,"dorogo"
1.53,"Premium","F","SI2",62.7,60,7.28,7.34,4.58,"dorogo"
1.2,"Ideal","D","VS2",61.4,55,6.78,6.87,4.19,"dorogo"
1.65,"Ideal","G","VS2",62.2,55,7.6,7.57,4.72,"dorogo"
1.7,"Ideal","H","SI1",62.2,53,7.67,7.6,4.75,"dorogo"
1.55,"Very Good","G","SI1",59.8,59,7.45,7.47,4.46,"dorogo"
1.77,"Premium","J","VS2",59.6,58,7.94,7.86,4.71,"dorogo"
1.27,"Ideal","G","VS1",59.6,57,7.09,7.06,4.22,"dorogo"
1.16,"Ideal","F","VS2",61.3,57,6.76,6.79,4.15,"dorogo"
1.16,"Ideal","F","VS2",61.4,56,6.83,6.78,4.18,"dorogo"
1.06,"Very Good","F","IF",60.6,56,6.62,6.69,4.03,"dorogo"
2.03,"Premium","J","SI2",60.4,59,8.15,8.12,4.91,"dorogo"
2,"Very Good","I","SI2",63.1,56,7.98,7.84,5,"dorogo"
1.61,"Ideal","I","SI1",62.7,55,7.48,7.54,4.71,"dorogo"
1.12,"Premium","G","IF",61.2,58,6.67,6.7,4.09,"dorogo"
1.2,"Premium","F","VS2",60.2,60,6.91,6.82,4.13,"dorogo"
1.51,"Ideal","I","VS2",60.6,56,7.44,7.47,4.52,"dorogo"
1.57,"Very Good","I","VS2",60.2,58,7.51,7.57,4.54,"dorogo"
1.7,"Ideal","H","SI2",61.2,56,7.71,7.64,4.7,"dorogo"
1.6,"Ideal","H","SI2",62.1,56,7.51,7.43,4.64,"dorogo"
1.42,"Premium","E","SI1",61.1,62,7.2,7.17,4.39,"dorogo"
1.13,"Ideal","D","VS1",61.4,55,6.72,6.74,4.13,"dorogo"
1.52,"Ideal","H","SI1",61.3,57,7.38,7.32,4.51,"dorogo"
1.21,"Premium","F","VS1",60.1,58,6.98,6.89,4.17,"dorogo"
1.21,"Ideal","E","VS2",60.3,60,6.92,6.88,4.16,"dorogo"
1.5,"Premium","E","SI2",61,58,7.35,7.3,4.47,"dorogo"
1.5,"Premium","E","SI2",60.1,60,7.42,7.35,4.44,"dorogo"
1.5,"Very Good","E","SI2",63.5,59,7.28,7.25,4.61,"dorogo"
1.43,"Very Good","D","SI1",63.5,56,7.24,7.09,4.55,"dorogo"
1.01,"Very Good","D","VVS2",63.6,59,6.25,6.32,4,"dorogo"
1.01,"Good","F","IF",62.7,59,6.3,6.42,3.99,"dorogo"
1.51,"Fair","H","VS2",65,64,7.1,7.03,4.59,"dorogo"
1.54,"Ideal","H","SI2",60.9,56.4,7.43,7.45,4.53,"dorogo"
1.15,"Ideal","G","VVS2",61.8,56,6.72,6.75,4.16,"dorogo"
1.58,"Ideal","I","SI1",62.3,55,7.42,7.49,4.64,"dorogo"
1.57,"Ideal","I","SI1",62.4,53.6,7.42,7.47,4.64,"dorogo"
1.12,"Ideal","F","VVS2",61.4,57,6.66,6.69,4.1,"dorogo"
1.35,"Ideal","H","VS2",60.8,56,7.13,7.17,4.35,"dorogo"
1.01,"Ideal","F","VVS2",63,57,6.36,6.4,4.02,"dorogo"
1.51,"Very Good","H","SI1",58.5,59,7.48,7.6,4.41,"dorogo"
1.04,"Ideal","G","VVS2",61.7,56,6.5,6.54,4.02,"dorogo"
1.04,"Ideal","G","VVS2",61.5,57,6.51,6.54,4.01,"dorogo"
1.52,"Ideal","I","VS2",62.1,59,7.3,7.35,4.55,"dorogo"
1.51,"Very Good","I","VS1",61.8,63,7.28,7.34,4.52,"dorogo"
1.51,"Premium","I","VS1",62.3,60,7.28,7.32,4.55,"dorogo"
1.61,"Good","G","VS2",63.8,58,7.43,7.36,4.72,"dorogo"
1.53,"Ideal","G","SI2",62.3,56,7.39,7.34,4.59,"dorogo"
1.5,"Premium","I","VS2",61.1,60,7.33,7.36,4.49,"dorogo"
1.51,"Ideal","I","VS2",59.9,56,7.49,7.42,4.47,"dorogo"
1.51,"Good","I","VVS1",64,60,7.26,7.21,4.63,"dorogo"
1.23,"Premium","F","VS1",60.8,58,6.94,6.9,4.21,"dorogo"
1.51,"Very Good","F","SI2",63.4,57,7.29,7.25,4.61,"dorogo"
1.51,"Ideal","F","SI2",62.6,55,7.39,7.35,4.61,"dorogo"
1.35,"Premium","G","VS2",62.8,59,7.04,7.01,4.41,"dorogo"
1.51,"Ideal","I","VS2",62.9,53,7.37,7.33,4.62,"dorogo"
1.51,"Premium","I","VS2",60.9,60,7.46,7.33,4.5,"dorogo"
1.51,"Premium","F","SI2",59.9,58,7.53,7.46,4.49,"dorogo"
1.01,"Very Good","F","VVS1",62.8,59,6.37,6.43,4.02,"dorogo"
1.51,"Very Good","E","SI1",61.8,57,7.36,7.43,4.57,"dorogo"
1.51,"Very Good","E","SI1",62.9,62,7.21,7.31,4.57,"dorogo"
1.59,"Premium","I","VS2",59.9,60,7.61,7.57,4.55,"dorogo"
2,"Very Good","G","SI2",63.5,57,7.91,7.86,4.99,"dorogo"
1.22,"Very Good","E","VS2",60.8,59,6.87,6.91,4.19,"dorogo"
1.2,"Premium","G","VVS2",59.7,60,7,6.91,4.15,"dorogo"
1.53,"Premium","G","SI1",58.4,59,7.62,7.55,4.43,"dorogo"
1.24,"Ideal","F","VS2",62,57,6.83,6.89,4.25,"dorogo"
1.57,"Premium","I","VS2",62.2,59,7.44,7.42,4.62,"dorogo"
1.5,"Premium","I","VS2",62.3,60,7.25,7.19,4.5,"dorogo"
1.01,"Ideal","E","VVS2",60,55,6.6,6.56,3.95,"dorogo"
2.04,"Very Good","J","SI2",63.4,55,8.07,8.04,5.11,"dorogo"
1.52,"Ideal","I","VS1",61.4,57,7.42,7.38,4.54,"dorogo"
1.01,"Ideal","E","VVS2",62,56,6.43,6.35,4.01,"dorogo"
1.05,"Ideal","F","VVS2",61.6,56,6.55,6.53,4.03,"dorogo"
1.21,"Very Good","G","VVS2",60.4,56,6.88,6.92,4.17,"dorogo"
1.1,"Premium","F","VS2",60.5,57,6.7,6.69,4.05,"dorogo"
1,"Very Good","D","VVS2",61.3,58,6.37,6.42,3.92,"dorogo"
1.27,"Ideal","G","VS2",61.9,57,6.9,6.93,4.28,"dorogo"
1.23,"Premium","F","VS1",61.3,60,6.94,6.9,4.24,"dorogo"
1,"Very Good","F","VVS1",61.7,57,6.39,6.41,3.95,"dorogo"
1.73,"Premium","F","SI2",62.4,60,7.6,7.55,4.73,"dorogo"
1.56,"Very Good","I","SI1",61.3,57,7.48,7.54,4.6,"dorogo"
1.59,"Ideal","J","VS1",61.3,57,7.5,7.55,4.61,"dorogo"
1.73,"Premium","F","SI2",61.5,60,7.75,7.66,4.74,"dorogo"
1.22,"Very Good","E","VS2",59.5,60,6.91,7,4.14,"dorogo"
1.02,"Very Good","E","VVS1",62.6,56,6.35,6.5,4.02,"dorogo"
1.51,"Premium","I","VVS2",62.1,58,7.32,7.29,4.54,"dorogo"
1.28,"Ideal","G","VS1",62,57,6.97,6.96,4.32,"dorogo"
1.02,"Ideal","D","VS2",61.5,56,6.46,6.49,3.99,"dorogo"
1.01,"Ideal","E","VS1",61.5,56,6.45,6.49,3.98,"dorogo"
1.63,"Very Good","H","SI2",58.2,62,7.77,7.72,4.51,"dorogo"
1.28,"Premium","G","VS1",60.9,58,7.09,7.01,4.29,"dorogo"
0.33,"Ideal","E","VS1",60,57,4.47,4.5,2.69,"dewevo"
0.33,"Good","D","VS2",63.5,56,4.36,4.4,2.78,"dewevo"
0.33,"Good","D","VS2",63.6,56,4.38,4.42,2.8,"dewevo"
0.3,"Very Good","H","VVS1",62.3,56,4.26,4.31,2.67,"dewevo"
0.3,"Ideal","H","VS2",61.4,56,4.33,4.36,2.67,"dewevo"
0.42,"Ideal","F","SI2",61.7,54,4.85,4.87,3,"dewevo"
0.38,"Ideal","I","SI1",61.6,57,4.62,4.66,2.86,"dewevo"
0.36,"Ideal","D","SI1",62.2,53,4.57,4.59,2.85,"dewevo"
0.36,"Ideal","D","SI1",62,54,4.58,4.61,2.85,"dewevo"
0.42,"Premium","I","SI1",62.6,58,4.76,4.8,2.99,"dewevo"
0.34,"Ideal","D","SI1",62,56,4.47,4.5,2.78,"dewevo"
0.34,"Ideal","D","SI1",61.2,57,4.48,4.51,2.75,"dewevo"
0.34,"Very Good","D","SI1",62,59,4.42,4.48,2.76,"dewevo"
0.34,"Premium","D","SI1",62.7,59,4.42,4.45,2.78,"dewevo"
0.34,"Very Good","D","SI1",59.8,61,4.5,4.53,2.7,"dewevo"
0.34,"Very Good","D","SI1",60.2,60,4.5,4.54,2.72,"dewevo"
0.31,"Ideal","D","VS2",62.1,54,4.36,4.4,2.72,"dewevo"
0.31,"Ideal","E","VS1",60.2,56,4.39,4.44,2.66,"dewevo"
0.34,"Very Good","D","SI1",59.6,61,4.5,4.53,2.69,"dewevo"
0.34,"Ideal","D","SI1",60.4,57,4.51,4.53,2.73,"dewevo"
0.34,"Very Good","D","SI1",62.8,58,4.44,4.48,2.8,"dewevo"
0.34,"Ideal","D","SI1",60.1,57,4.52,4.56,2.73,"dewevo"
0.34,"Very Good","D","SI1",62.8,55,4.45,4.5,2.81,"dewevo"
0.34,"Ideal","D","SI1",61.5,53,4.51,4.53,2.78,"dewevo"
0.34,"Premium","D","SI1",61.2,58,4.47,4.49,2.74,"dewevo"
0.42,"Very Good","I","SI1",61.2,60,4.78,4.82,2.94,"dewevo"
0.34,"Very Good","I","VVS1",61.9,58,4.43,4.52,2.77,"dewevo"
0.34,"Ideal","D","SI1",62.3,57,4.44,4.48,2.78,"dewevo"
0.34,"Very Good","D","SI1",59.6,59,4.55,4.57,2.72,"dewevo"
0.34,"Ideal","D","SI1",62.7,56,4.45,4.48,2.8,"dewevo"
1.04,"Premium","F","VVS2",61.6,59,6.53,6.49,4.01,"dorogo"
1.11,"Ideal","G","VVS2",61.6,57,6.7,6.74,4.14,"dorogo"
1.73,"Very Good","J","VS2",60.9,59,7.72,7.76,4.71,"dorogo"
1.51,"Premium","H","SI1",62,58,7.38,7.34,4.56,"dorogo"
1.51,"Very Good","I","VS1",63.1,53,7.34,7.25,4.6,"dorogo"
1.24,"Premium","F","VS2",62.4,60,6.83,6.8,4.25,"dorogo"
1.51,"Very Good","E","SI2",63.4,59,7.26,7.19,4.58,"dorogo"
1.51,"Very Good","E","SI2",63.1,58,7.31,7.28,4.6,"dorogo"
1.51,"Premium","E","SI2",61.1,60,7.37,7.27,4.47,"dorogo"
1.51,"Ideal","E","SI2",62.9,57,7.29,7.23,4.57,"dorogo"
1.51,"Premium","I","VS1",63,59,7.3,7.28,4.59,"dorogo"
1.5,"Very Good","G","SI1",62.2,58,7.21,7.28,4.51,"dorogo"
1.14,"Ideal","E","VS2",62.4,55,6.71,6.64,4.17,"dorogo"
1.57,"Ideal","J","VVS2",61.4,57,7.5,7.45,4.59,"dorogo"
1.18,"Premium","G","VS2",61.5,58,6.87,6.79,4.2,"dorogo"
1.5,"Very Good","I","VS1",62.7,59,7.19,7.26,4.53,"dorogo"
1.39,"Ideal","D","SI1",61.9,52,7.24,7.25,4.48,"dorogo"
1.02,"Ideal","F","VVS2",61.1,56.3,6.48,6.52,3.97,"dorogo"
1.61,"Ideal","G","VS2",62.2,56,7.57,7.5,4.69,"dorogo"
1.5,"Very Good","H","SI1",61.6,57,7.26,7.35,4.5,"dorogo"
1.19,"Ideal","G","VVS2",60.8,59,6.84,6.81,4.15,"dorogo"
1.13,"Premium","G","IF",61.2,59,6.71,6.78,4.13,"dorogo"
1.23,"Ideal","G","VVS2",61,55,6.93,6.95,4.23,"dorogo"
1.62,"Premium","E","SI2",61.8,59,7.55,7.52,4.66,"dorogo"
1.16,"Ideal","G","VVS1",62,57,6.72,6.74,4.17,"dorogo"
1.62,"Premium","E","SI2",60.8,59,7.62,7.57,4.62,"dorogo"
1.62,"Good","I","VS1",59.6,65,7.69,7.59,4.55,"dorogo"
1.75,"Premium","H","VS2",61.5,58,7.75,7.69,4.75,"dorogo"
1.52,"Premium","H","SI1",62.1,59,7.29,7.36,4.55,"dorogo"
1.52,"Premium","H","SI1",61,58,7.39,7.44,4.52,"dorogo"
1.2,"Very Good","E","VS2",60.6,56,6.85,6.87,4.16,"dorogo"
1.55,"Ideal","G","SI2",60.7,55,7.54,7.51,4.57,"dorogo"
1.52,"Ideal","G","SI1",60.7,57,7.38,7.41,4.49,"dorogo"
1.54,"Ideal","G","SI2",61.7,56,7.44,7.41,4.58,"dorogo"
1.07,"Ideal","G","IF",61.5,57,6.59,6.54,4.04,"dorogo"
1.5,"Very Good","I","VS2",63.3,55,7.3,7.26,4.61,"dorogo"
1.5,"Ideal","I","VS1",62.8,57,7.24,7.28,4.56,"dorogo"
1.5,"Ideal","I","VS1",60.5,56,7.38,7.46,4.49,"dorogo"
1.52,"Ideal","F","SI2",62.5,57,7.36,7.32,4.59,"dorogo"
1.18,"Premium","G","VVS2",59.7,58,6.94,6.9,4.13,"dorogo"
1.13,"Very Good","F","VVS2",59.6,59,6.82,6.87,4.08,"dorogo"
1.51,"Good","E","SI1",65.5,56,7.12,7.16,4.68,"dorogo"
1.76,"Ideal","I","SI2",61.2,55,7.76,7.79,4.76,"dorogo"
1.9,"Very Good","J","SI1",59.2,58,8.1,8.21,4.83,"dorogo"
1.3,"Ideal","G","VS2",62.3,55,7,6.93,4.34,"dorogo"
1.52,"Ideal","J","VVS2",62.6,58,7.32,7.34,4.59,"dorogo"
1.21,"Premium","E","VS1",60.8,59,6.86,6.82,4.16,"dorogo"
1.21,"Premium","G","VVS2",59.6,60,6.91,6.89,4.11,"dorogo"
1.21,"Premium","G","VVS2",58.5,58,7.06,6.95,4.1,"dorogo"
1.42,"Good","F","VS2",63.7,57,7.08,6.99,4.48,"dorogo"
1.08,"Ideal","D","VS1",61.1,56,6.59,6.63,4.04,"dorogo"
1.23,"Ideal","F","VS2",61.7,57,6.94,6.9,4.27,"dorogo"
1.06,"Ideal","F","VVS2",61.3,57,6.56,6.59,4.03,"dorogo"
1.27,"Ideal","F","VS2",61,59,6.96,6.98,4.25,"dorogo"
1.6,"Ideal","H","SI1",62.7,56,7.51,7.39,4.67,"dorogo"
1.5,"Very Good","E","SI2",62.1,59,7.26,7.33,4.53,"dorogo"
1.28,"Ideal","D","SI1",61.5,55,7.01,7.05,4.32,"dorogo"
1.11,"Premium","F","VVS2",59.2,59,6.82,6.79,4.03,"dorogo"
2,"Fair","H","SI2",68.7,55,7.9,7.67,5.35,"dorogo"
1.02,"Premium","F","VVS1",62.6,59,6.41,6.36,4,"dorogo"
1.72,"Premium","H","SI1",62.2,59,7.62,7.55,4.72,"dorogo"
1.72,"Premium","H","SI1",62,57,7.67,7.63,4.74,"dorogo"
1.49,"Very Good","H","VS2",62.7,60,7.24,7.31,4.56,"dorogo"
1.52,"Very Good","F","SI2",62.1,58,7.26,7.34,4.53,"dorogo"
1.04,"Ideal","E","VVS2",62,58,6.54,6.46,4.03,"dorogo"
1.05,"Ideal","G","VVS2",61.4,56,6.54,6.59,4.03,"dorogo"
1.57,"Ideal","I","SI1",61.7,56,7.45,7.48,4.61,"dorogo"
1.51,"Fair","D","SI2",64.7,57,7.17,7.24,4.66,"dorogo"
1.53,"Premium","J","VVS1",61.6,59,7.39,7.35,4.54,"dorogo"
1.63,"Good","I","SI1",63.7,58,7.4,7.48,4.74,"dorogo"
1.63,"Very Good","G","SI2",62.5,57,7.54,7.57,4.72,"dorogo"
1.55,"Very Good","E","SI2",59.5,56,7.56,7.59,4.51,"dorogo"
1.52,"Premium","I","VS1",61.1,58,7.44,7.38,4.53,"dorogo"
1.52,"Premium","D","SI2",60.6,62,7.42,7.37,4.48,"dorogo"
1.54,"Ideal","H","SI1",61.1,56,7.45,7.42,4.54,"dorogo"
1.53,"Ideal","H","SI2",61.2,56,7.46,7.43,4.56,"dorogo"
1.55,"Ideal","D","SI1",61.7,57,7.47,7.43,4.59,"dorogo"
1.22,"Ideal","F","VS2",60.7,57,6.89,6.94,4.2,"dorogo"
1.24,"Ideal","F","VS2",61.6,54,6.95,6.91,4.27,"dorogo"
1.51,"Ideal","H","SI1",62.4,57,7.3,7.34,4.57,"dorogo"
1.51,"Good","I","VS1",62,56,7.23,7.29,4.5,"dorogo"
1.2,"Ideal","G","VVS1",61.2,56,6.89,6.86,4.21,"dorogo"
1.32,"Ideal","H","VVS2",62,54,7.05,7.06,4.37,"dorogo"
1.53,"Premium","G","SI1",61.7,59,7.31,7.4,4.54,"dorogo"
1.32,"Ideal","H","VVS1",62.1,55,6.98,7.03,4.35,"dorogo"
